jobid,k_opt,MAE_adj,Med_Abs_Err,scenario
48,33.0,0.280904003277569,0.169945279788355,Proposed
48,34.0,0.251831045269298,0.165186354593453,Oracle
48,,0.323473355511207,0.257802040247816,GAM
49,46.0,0.274706635229171,0.278068024934625,Proposed
49,40.0,0.293867280648677,0.268022616159041,Oracle
49,,0.30541716063426,0.232052920908283,GAM
50,45.0,0.217602448732547,0.194418649014954,Proposed
50,45.0,0.267491216991164,0.245102167109663,Oracle
50,,0.189730420829403,0.160463867534289,GAM
51,40.0,0.363149422194505,0.237346156280556,Proposed
51,45.0,0.338364109250612,0.256699777659602,Oracle
51,,0.368312314091691,0.300367450860311,GAM
52,34.0,0.249128003527421,0.278683610849376,Proposed
52,35.0,0.246806120024138,0.264771741564266,Oracle
52,,0.241368292897354,0.239363582062888,GAM
53,37.0,0.241740500690427,0.188330540213363,Proposed
53,39.0,0.242171904143195,0.171900775819796,Oracle
53,,0.198834462142986,0.18624356307167,GAM
54,27.0,0.458664695006343,0.393183292226549,Proposed
54,30.0,0.443407168979957,0.413219443778507,Oracle
54,,0.604035189811255,0.523376586703494,GAM
55,52.0,0.263526788772227,0.268874126901696,Proposed
55,52.0,0.274715254748392,0.260067458461201,Oracle
55,,0.244200195862622,0.273166508662704,GAM
56,27.0,0.362519720087607,0.325644451322227,Proposed
56,28.0,0.377112995602603,0.347597439620783,Oracle
56,,0.355979712828094,0.320470891165289,GAM
57,36.0,0.210983451772748,0.185972393691791,Proposed
57,41.0,0.176357715206075,0.168649193983117,Oracle
57,,0.300875254104364,0.315792810948813,GAM
58,53.0,0.315325302546714,0.27207665995572,Proposed
58,49.0,0.270643102374461,0.226646748617884,Oracle
58,,0.220403873876992,0.157943838612032,GAM
59,50.0,0.313741677547665,0.242285020344057,Proposed
59,52.0,0.346865316120101,0.255452378649712,Oracle
59,,0.260999266202113,0.241172766527526,GAM
60,44.0,0.30110868538146,0.298133566229345,Proposed
60,42.0,0.308894888609331,0.30173514773315,Oracle
60,,0.260440797508447,0.233765773791444,GAM
61,34.0,0.426202788223931,0.357291984665903,Proposed
61,35.0,0.422528334197926,0.313773171857283,Oracle
61,,0.359797816669031,0.276264134801254,GAM
62,38.0,0.267558672342748,0.255440630283854,Proposed
62,40.0,0.252193966024802,0.230809108764491,Oracle
62,,0.224422895410573,0.231846262347924,GAM
63,52.0,0.264619444245273,0.261171256182151,Proposed
63,50.0,0.26787496569251,0.255603615752692,Oracle
63,,0.134474224502204,0.17101331973581,GAM
64,37.0,0.383344600422106,0.295202221693247,Proposed
64,36.0,0.3624102371084,0.266742598847298,Oracle
64,,0.292685546762222,0.206303991625835,GAM
65,41.0,0.195898733317818,0.197557134937285,Proposed
65,43.0,0.18858200157745,0.187807425312737,Oracle
65,,1.31467838000085,1.27229498675174,GAM
66,44.0,0.360261688294847,0.289372163639933,Proposed
66,53.0,0.375357873987036,0.322901490682545,Oracle
66,,0.319721924467734,0.312800684377362,GAM
67,43.0,0.202844907312373,0.21611021879098,Proposed
67,50.0,0.222935865460871,0.218509946700819,Oracle
67,,0.186413322336837,0.187169711906843,GAM
68,43.0,0.22690382027171,0.147316467168222,Proposed
68,42.0,0.244972578030862,0.172575788674106,Oracle
68,,0.271775672567678,0.252297301154242,GAM
69,43.0,0.395155698560911,0.34819120234256,Proposed
69,38.0,0.364657186362373,0.361546175906822,Oracle
69,,0.30993044501106,0.314394848786845,GAM
70,44.0,0.303813496127276,0.298231718966128,Proposed
70,39.0,0.275734144560926,0.273547657394433,Oracle
70,,0.207686874796051,0.224068631273936,GAM
71,40.0,0.272505819445774,0.233686138711769,Proposed
71,42.0,0.242461046562986,0.204908506035997,Oracle
71,,0.199644898150868,0.191350297818623,GAM
72,45.0,0.225730922214187,0.211816189705351,Proposed
72,45.0,0.190669560362443,0.194483727457401,Oracle
72,,0.15266617623968,0.111313252296693,GAM
73,53.0,0.222107590763829,0.239062957197465,Proposed
73,39.0,0.198640037226977,0.190992651996251,Oracle
73,,0.176202697921251,0.16310144512731,GAM
74,50.0,0.343361013990497,0.237590122629282,Proposed
74,52.0,0.364261474427502,0.239985860416558,Oracle
74,,0.30369524811276,0.235863005557109,GAM
75,30.0,0.28897110634215,0.293987186109098,Proposed
