jobid,k_opt,k1_opt,k2_opt,MAE_adj,Med_Abs_Err,scenario
20,23,16,21,10.2747456034007,8.74196800192392,Oracle
21,21,15,21,6.76369680457765,5.13149862885183,Proposed
21,21,15,21,2.77836793895931,2.18288504643889,Oracle
22,33,26,38,3.19836746234299,2.76331164702047,Proposed
22,37,29,42,2.03288288833847,1.81454907109497,Oracle
23,24,19,26,5.84055207995298,4.86622709192,Proposed
23,25,18,25,7.2420769011867,5.96458538696703,Oracle
24,18,13,19,11.8785464521758,7.65937883916368,Proposed
24,17,12,17,14.3738008077783,9.1097258933058,Oracle
25,19,15,21,4.87919080677731,3.12688300190775,Proposed
25,20,15,21,3.78053309608875,2.41572264597176,Oracle
26,27,22,31,4.88290648681868,2.62353452741908,Proposed
26,26,22,31,4.5150580383999,3.01305345734274,Oracle
27,26,20,27,6.16125645675869,5.10784151155165,Proposed
27,27,21,28,5.11182935906283,3.85754740250218,Oracle
28,18,14,19,5.05629659942613,2.89676952040544,Proposed
28,17,13,18,4.59452241306357,2.88733192925422,Oracle
29,31,24,35,5.34550386265168,4.96255547289459,Proposed
29,29,22,32,6.22804476750131,5.27637922865837,Oracle
30,16,13,17,4.13681036667019,2.52903142050465,Proposed
30,30,25,36,3.36317404111523,2.20687506686379,Oracle
31,29,24,34,4.74333167771155,3.92805446843587,Proposed
31,27,22,32,5.12686122359376,4.44000138955278,Oracle
32,16,12,15,5.04605386597182,3.08835448576563,Proposed
32,17,13,18,4.56937418532946,2.58818246949558,Oracle
33,30,25,35,4.42893102634584,3.33764205109668,Proposed
33,29,24,33,3.2762984631758,2.71977946219607,Oracle
34,6,5,6,20.7621310556741,14.9378042698045,Proposed
34,6,6,6,17.4944536213462,13.6063720834426,Oracle
35,37,29,42,6.25838208291204,4.92019619139694,Proposed
35,34,27,38,5.34571440626875,4.6104166049008,Oracle
36,33,27,38,4.20493372060592,3.1884638465847,Proposed
36,32,27,39,3.72234161108909,2.71850152711679,Oracle
37,28,22,32,3.314223955281,2.70381871430933,Proposed
37,30,25,35,2.75344190933137,2.19298952918316,Oracle
38,31,24,34,6.27075068459434,5.00982045030698,Proposed
38,31,24,33,5.5918599871082,3.77112524713213,Oracle
39,26,21,30,7.75259693618771,6.35225770975457,Proposed
39,28,22,31,4.13495085141656,3.72368082433084,Oracle
40,23,17,25,7.60382019160336,4.89053701734248,Proposed
40,25,19,26,7.07128854774075,4.03025156219659,Oracle
41,32,23,33,3.95700788467565,2.55990305844215,Proposed
41,38,28,41,3.07848106887355,2.51804777579247,Oracle
42,27,22,31,6.50659926791622,4.56351245363583,Proposed
42,27,23,32,6.25009683911819,4.65455224110648,Oracle
43,37,28,40,4.42396397802494,3.69224280912492,Proposed
43,37,28,40,4.09728259899699,3.69323609357267,Oracle
44,21,16,22,6.24332860961514,4.74260480231168,Proposed
44,21,16,22,6.72539261288795,4.81846127877707,Oracle
45,23,19,26,6.91907234889769,4.73306037844452,Proposed
45,26,22,30,5.88571439594628,4.1637132289143,Oracle
46,28,24,33,4.76614568967866,4.3648638244509,Proposed
46,24,20,28,7.4311110334622,6.34902907601942,Oracle
47,18,13,16,11.7513327615083,9.55387201548278,Proposed
47,16,11,15,4.18558368401688,3.66056084592047,Oracle
48,26,19,27,9.69359845840816,6.93519820852605,Proposed
48,26,19,27,9.72239557745939,7.40091930858893,Oracle
49,30,24,34,4.99285259706098,3.80116353550942,Proposed
49,30,25,36,4.64059131120459,3.89024562884373,Oracle
50,21,15,21,12.9760370878264,9.17724865273712,Proposed
50,20,13,19,15.6064640841773,10.6536752175726,Oracle
51,29,23,32,5.28218018502073,5.24893066139017,Proposed
51,31,25,34,4.03274648867163,3.72829732822601,Oracle
52,28,22,32,3.53394420253406,3.50215862653843,Proposed
52,29,23,33,2.9205995441946,2.78166873628746,Oracle
53,14,10,14,4.40932167479115,2.79270434147558,Proposed
53,15,24,33,4.95785949581437,4.04691733170664,Oracle
54,42,30,44,5.09571950340299,5.24081039520941,Proposed
