jobid,k_opt,k1_opt,k2_opt,MAE_adj,Med_Abs_Err,scenario
1,19,16,21,41.6971521750764,21.847414899428,Proposed
1,37,23,32,57.5577335109434,25.9111831793889,Oracle
2,31,22,32,77.4968522632709,45.2909394888295,Proposed
2,36,20,28,61.2816437273208,41.2747600867939,Oracle
3,21,18,24,61.9162618705363,30.7010881542929,Proposed
3,38,22,30,79.0687421960043,38.8473839858933,Oracle
4,28,25,35,78.697795795665,50.2170441239981,Proposed
4,37,17,24,47.5500923525343,33.2195023018331,Oracle
5,26,22,31,60.7519309681995,47.378986027862,Proposed
5,33,17,24,45.3747566121932,33.3983260620138,Oracle
6,19,14,19,46.4908401296846,18.4033751625797,Proposed
6,36,25,35,93.3948196136824,59.7019771614493,Oracle
7,21,17,25,55.7010391022049,36.3784614940049,Proposed
7,38,25,35,81.4887963945123,45.4009077344393,Oracle
8,26,21,29,58.1491612667176,33.9796753524395,Proposed
8,38,19,26,51.6839328333307,33.6294253456854,Oracle
9,26,23,33,81.87585665197,34.9988927026792,Proposed
9,37,25,35,84.3606688680297,64.8120097462397,Oracle
10,24,22,32,59.6010458136919,26.5714878947793,Proposed
10,32,18,26,52.6889552838214,24.815801857671,Oracle
11,21,17,23,48.5667464323701,25.8678014709614,Proposed
11,38,19,26,56.156102567074,31.6919141911827,Oracle
12,21,17,25,37.6636695999739,21.1971138097245,Proposed
12,37,26,36,70.7122205480039,41.7557953941745,Oracle
13,30,23,34,68.4556089577954,21.1395193929532,Proposed
13,38,21,30,62.2288980927264,31.6073843270732,Oracle
14,27,23,32,71.25977391124,35.4271811714785,Proposed
14,35,17,24,58.4495954311938,37.2763776977317,Oracle
15,23,20,27,58.6001678378634,24.2752738714939,Proposed
15,36,20,28,63.6557303346552,23.5436734934199,Oracle
16,24,20,28,65.2902455263233,34.1608618452195,Proposed
16,37,24,35,71.5390102659,50.0342788713317,Oracle
17,24,19,26,64.9809799352513,31.2198710502382,Proposed
17,38,22,32,75.7994569943442,46.0202695681347,Oracle
18,28,23,32,79.956098968377,33.7199840245302,Proposed
18,38,19,26,60.8392690056157,22.3499941382706,Oracle
19,24,24,33,67.8943054475452,41.2222371371722,Proposed
19,37,23,33,70.7483143255622,46.2032263208337,Oracle
20,25,14,19,52.902230594387,23.7538954625519,Proposed
20,31,17,24,50.8392425055232,31.6680440067048,Oracle
21,26,22,31,82.7602344595411,27.7533770083327,Proposed
21,38,19,26,60.3562197092186,36.8948840815342,Oracle
22,23,18,26,54.0517946354778,34.5077342098696,Proposed
22,38,25,37,80.3611108794446,65.461530923672,Oracle
23,24,20,29,55.2764675537145,22.4756966767579,Proposed
23,39,19,26,53.2980532229812,34.5851795545415,Oracle
24,26,25,36,83.9380713298111,25.5877530192826,Proposed
24,37,21,30,69.8282888219794,36.4296850997151,Oracle
25,22,19,28,62.4758394358006,39.8036177792595,Proposed
