jobid,k_opt,MAE_adj,Med_Abs_Err,scenario
1,10,1.38864133033062,1.31063652545244,Proposed
1,12,1.22371863521912,1.12703026528792,Oracle
2,11,1.6432762331179,0.887894235224655,Proposed
2,13,1.38656777248011,0.766236518015562,Oracle
3,11,1.56379780588696,1.10888656342955,Proposed
3,12,1.30649361950399,1.03812788775042,Oracle
4,9,1.0245068056482,0.644586301813084,Proposed
4,13,0.99243131800604,0.864719632236667,Oracle
5,10,1.23621880907079,1.1207634051337,Proposed
5,13,1.17254281976237,1.125867121271,Oracle
6,8,2.19418035304166,1.39977297015147,Proposed
6,10,1.90833807760963,1.22769761770316,Oracle
7,10,1.45211124644494,1.00755468880581,Proposed
7,11,1.24905965536852,0.810514949052864,Oracle
8,10,1.4989187341134,0.71818151694157,Proposed
8,13,1.74089967928882,1.71916764261749,Oracle
9,9,1.59888942455343,1.29359533738498,Proposed
9,11,1.51722264832112,1.34820668627674,Oracle
10,12,1.63050815027795,0.663059431478983,Proposed
10,15,1.211588370192,1.04288855200732,Oracle
11,8,1.54072956052516,1.11803777266994,Proposed
11,12,1.13149579349095,0.848490777994911,Oracle
12,9,1.52300776259338,1.21967350795526,Proposed
12,10,1.4753350849343,1.09596642543232,Oracle
13,11,1.0106452209968,0.960741822757788,Proposed
13,11,1.23618465677351,0.776725287314506,Oracle
14,11,1.31361493388662,0.9191739805792,Proposed
14,14,1.12370219323153,0.908369768504378,Oracle
15,10,1.59980460512118,1.18045044482931,Proposed
15,12,1.31209362453478,1.17836761196158,Oracle
16,10,1.31978021379904,1.14829481324698,Proposed
16,11,1.20896861625389,1.03834019848296,Oracle
17,9,1.34496319142314,0.889081859667756,Proposed
17,11,1.19352010168294,0.784544707265355,Oracle
18,9,1.15320770514959,0.768440149544474,Proposed
18,12,0.947786778457223,0.93122584878517,Oracle
19,10,1.47023161551408,0.980188052306551,Proposed
19,12,1.35187854882125,1.21646679894025,Oracle
20,12,1.34915394121482,0.845021054723701,Proposed
20,13,1.20436658758368,0.706314136854715,Oracle
21,9,1.28202660270538,1.16997498132319,Proposed
21,12,1.1939628200115,1.13596303196238,Oracle
22,10,1.04426822659488,0.899176010976603,Proposed
22,10,1.12137499643159,1.09259590544595,Oracle
23,10,1.21100748726465,0.742860121072172,Proposed
23,12,1.00300153502986,0.677246761323003,Oracle
24,10,1.34423847861992,0.696253313739363,Proposed
24,12,1.26382629187535,0.967328075763806,Oracle
25,10,1.46315033185667,0.867051243585809,Proposed
25,11,1.32588993631983,1.0891533348199,Oracle
26,8,1.38583157989887,1.06874736935257,Proposed
26,10,1.2371296268628,0.865891306362681,Oracle
27,8,1.17772034816642,0.742027514856005,Proposed
27,10,1.08353554716504,0.672209668343506,Oracle
28,11,1.22656867546953,0.623187967839611,Proposed
28,14,1.11691952469923,0.747540513278606,Oracle
29,10,1.68463713067128,0.83857941048526,Proposed
29,10,1.75125373233995,0.922078155730943,Oracle
30,9,1.57359586376568,0.768607340344241,Proposed
30,11,1.5677978117698,0.787832248513804,Oracle
31,10,1.25809868119751,0.91814647145799,Proposed
31,11,1.13763006309108,0.812185952699218,Oracle
32,10,1.27189609207442,0.743718380313171,Proposed
32,12,1.30131998047306,0.697855387497208,Oracle
33,9,1.67008035448472,1.12644856605817,Proposed
33,12,1.31426646148718,0.883925049329158,Oracle
34,9,1.47661599729403,0.741868961861971,Proposed
34,11,1.35937946430715,1.06725293580328,Oracle
35,9,1.32447421687058,1.07430759367883,Proposed
35,12,1.21686701018234,1.03171720440559,Oracle
36,8,1.54888885437977,1.11312764103493,Proposed
36,12,1.26285966896582,0.492800521730765,Oracle
37,11,1.18939722040869,1.03978693570734,Proposed
37,11,1.29433170496026,1.0075835297414,Oracle
38,11,0.932564353053837,0.585677619527692,Proposed
38,12,0.942360703689482,0.773963035337541,Oracle
39,10,0.951954027878313,0.471368518216851,Proposed
39,12,1.20565634793142,0.418049072267639,Oracle
40,10,1.03400883580442,0.970464824371893,Proposed
40,13,0.944889666322387,0.859952367501551,Oracle
41,11,1.18610375387373,1.01582317628941,Proposed
41,12,1.156265630925,0.938006257443395,Oracle
42,10,1.55516138156857,1.07934813762748,Proposed
42,15,0.939518073042651,0.8430977296409,Oracle
43,9,1.29960839426712,1.38658062157107,Proposed
43,11,1.30777781501973,1.33572439545281,Oracle
44,10,1.3805916886099,0.901164264822436,Proposed
44,10,1.4083975268132,0.873447477379142,Oracle
45,10,1.2262391415192,0.931290235241614,Proposed
45,11,1.20847222543014,0.868063323132452,Oracle
46,11,1.20992298204276,0.740627322688441,Proposed
46,12,1.36525522594912,1.0830359792555,Oracle
47,11,2.16482658704567,2.11744510413428,Proposed
47,11,1.96629660824777,1.75412876363147,Oracle
48,9,1.54372142295028,1.03401299604641,Proposed
48,11,1.17680055604653,0.916682967850845,Oracle
49,8,1.45768664282214,1.2778442903198,Proposed
49,11,1.45404532877222,1.17194816990383,Oracle
50,10,0.661249708769662,0.594630639659782,Proposed
50,10,0.911382874018898,0.624951383431027,Oracle
51,10,1.38761081667689,0.806243527250225,Proposed
51,16,0.970999594505066,0.801635625692104,Oracle
